timestamp,numberOfCrashedNodes
1505150543722,1
1505150626540,2
1505150640677,3
1505150652798,4
1505150689158,5
1505150699260,6
1505150725518,7
1505150745719,8
1505150790159,9
1505150895210,10
1505150909349,11
1505150929548,12
1505150957830,14
1505150957830,14
1505150992168,15
1505151032569,16
1505151147708,17
1505151178008,18
1505151268908,19
1505151279017,20
1505151299218,21
1505151305279,22
1505151353757,23
1505151434558,24
1505151505260,25
1505151632529,26
1505151646669,27
1505151666868,28
1505151705249,29
1505151707270,30
1505151775968,31
1505151969890,32
1505152048680,33
1505152072929,34
1505152089088,35
1505152131508,36
1505152163839,37
1505152165858,38
1505152196157,39
1505152216362,40
1505152408268,41
1505152523411,42
1505152541598,43
1505152683024,44
1505152767889,45
1505152822439,46
1505152864860,47
1505153008281,48
1505153236562,49
1505153329488,50
1505153349688,51
1505153353729,52
1505153410292,53
1505153420400,54
1505153462818,55
