timestamp,numberOfFalseSuspicions
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150509367,84
1505150511397,87
1505150511397,87
1505150511397,87
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150513417,121
1505150515437,122
1505150517456,123
1505150525536,124
1505150539676,125
1505150551797,126
1505150646737,127
1505150652797,128
1505150666936,129
1505150689156,130
1505150693197,131
1505150697237,132
1505150715417,133
1505150745717,134
1505150780057,135
1505150822477,136
1505150834596,137
1505150844696,138
1505150850757,139
1505150897226,140
1505150913386,141
1505150923486,142
1505150925507,144
1505150925507,144
1505150949746,145
1505150963886,146
1505151004287,147
1505151030546,148
1505151034587,149
1505151042667,150
1505151072967,151
1505151077007,152
1505151083066,153
1505151093166,154
1505151099226,155
1505151113367,156
1505151117406,157
1505151161846,158
1505151192147,159
1505151194166,160
1505151220427,161
1505151224466,162
1505151234567,163
1505151238606,164
1505151291136,165
1505151347696,166
1505151382036,167
1505151390116,168
1505151450716,169
1505151452736,170
1505151466876,171
1505151468897,173
1505151468897,173
1505151539596,174
1505151545656,175
1505151575967,176
1505151590106,177
1505151632526,179
1505151632526,179
1505151638587,180
1505151642627,181
1505151650707,182
1505151666866,183
1505151689086,184
1505151693126,185
1505151699187,186
1505151711307,187
1505151717377,188
1505151743636,189
1505151765867,190
1505151773947,191
1505151796167,192
1505151798186,193
1505151818386,195
1505151818386,195
1505151832526,196
1505151838586,198
1505151838586,198
1505151852726,199
1505151860807,200
1505151876967,201
1505151883027,202
1505151893127,204
1505151893127,204
1505151899187,205
1505151901207,206
1505151913327,207
1505151915346,209
1505151915346,209
1505151919386,210
1505151925447,211
1505151931507,212
1505151935547,213
1505151937566,214
1505151963826,215
1505152129486,216
1505152139586,217
1505152153736,218
1505152159796,219
1505152163836,220
1505152206256,221
1505152220397,222
1505152234546,223
1505152238586,224
1505152260807,225
1505152270906,226
1505152281006,227
1505152295146,228
1505152307267,229
1505152309286,230
1505152323426,231
1505152327467,232
1505152373926,233
1505152396147,234
1505152434526,235
1505152442606,236
1505152462807,237
1505152468866,238
1505152480986,239
1505152485026,240
1505152513307,241
1505152523407,242
1505152569877,243
1505152604216,244
1505152620376,245
1505152697157,246
1505152703227,248
1505152703227,248
1505152709286,250
1505152709286,250
1505152725447,251
1505152727467,252
1505152749696,253
1505152769906,254
1505152818397,255
1505152824456,256
1505152834556,257
1505152856777,258
1505152860817,259
1505152864857,260
1505152866876,261
1505152895156,262
1505152897177,263
1505152899196,264
1505152911317,265
1505152919397,266
1505152937576,267
1505152943636,268
1505153018377,269
1505153091117,270
1505153099196,271
1505153204237,272
1505153212317,273
1505153242616,274
1505153289077,275
1505153319387,276
1505153337567,277
1505153343627,278
1505153351706,279
1505153382007,280
1505153404227,281
1505153424437,283
1505153424437,283
1505153426457,284
