node,detectionTime,crashTimestamp
39,2014,1505152216362
90,2018,1505152165858
10,4038,1505151632529
1,2019,1505152408268
18,2015,1505153410292
99,2014,1505150543722
44,2017,1505150626540
19,4038,1505151305279
67,4034,1505153236562
91,2017,1505151707270
88,8076,1505152523411
33,2017,1505153353729
59,8079,1505150725518
15,2018,1505152541598
4,2012,1505152683024
81,4037,1505150699260
93,4037,1505150745719
98,4039,1505151279017
57,2017,1505150790159
94,4038,1505152072929
26,2019,1505151353757
96,4037,1505150895210
76,4039,1505150689158
85,2016,1505153008281
23,4038,1505151775968
2,8078,1505152131508
13,2019,1505151434558
30,6058,1505153349688
92,6058,1505152089088
42,2017,1505153420400
11,4039,1505153329488
7,4038,1505151666868
46,2017,1505151646669
17,8077,1505151969890
51,6066,1505152048680
37,4039,1505151268908
61,8078,1505151299218
73,4039,1505153462818
66,8077,1505151032569
63,4036,1505150957830
21,4039,1505152196157
28,4037,1505152822439
84,2016,1505151505260
29,8079,1505151178008
70,6060,1505150640677
80,2017,1505150909349
40,6057,1505152767889
3,6058,1505150992168
78,4039,1505151147708
47,2018,1505150652798
27,2019,1505150929548
41,4037,1505152163839
55,4038,1505151705249
24,2016,1505152864860
16,10097,1505150957830
