node,rttMean,rttStd,geo,rttMin,rttMax,bandwidth,rtt,timestamp
1,1218.0,1000.0,0.0,1218.0,1218.0,8.0,1218.0,1505150508367
39,1547.0,1000.0,2.0,1547.0,1547.0,9.0,1547.0,1505150508696
83,1688.0,1000.0,1.0,1688.0,1688.0,7.0,1688.0,1505150508837
34,1858.0,1000.0,3.0,1858.0,1858.0,8.0,1858.0,1505150509007
99,1967.0,1000.0,6.0,1967.0,1967.0,9.0,1967.0,1505150509116
54,1977.0,1000.0,2.0,1977.0,1977.0,7.0,1977.0,1505150509126
90,1988.0,1000.0,1.0,1988.0,1988.0,6.0,1988.0,1505150509137
53,2008.0,1000.0,1.0,2008.0,2008.0,6.0,2008.0,1505150509157
67,2018.0,1000.0,6.0,2018.0,2018.0,9.0,2018.0,1505150509167
10,2077.0,1000.0,1.0,2077.0,2077.0,7.0,2077.0,1505150509226
35,2078.0,1000.0,7.0,2078.0,2078.0,8.0,2078.0,1505150509227
18,2098.0,1000.0,5.0,2098.0,2098.0,7.0,2098.0,1505150509247
44,2098.0,1000.0,6.0,2098.0,2098.0,9.0,2098.0,1505150509247
89,2138.0,1000.0,4.0,2138.0,2138.0,7.0,2138.0,1505150509287
19,2157.0,1000.0,0.0,2157.0,2157.0,5.0,2157.0,1505150509306
82,2187.0,1000.0,7.0,2187.0,2187.0,9.0,2187.0,1505150509336
81,2248.0,1000.0,3.0,2248.0,2248.0,6.0,2248.0,1505150509397
69,2318.0,1000.0,8.0,2318.0,2318.0,8.0,2318.0,1505150509467
7,2458.0,1000.0,8.0,2458.0,2458.0,7.0,2458.0,1505150509607
98,2588.0,1000.0,4.0,2588.0,2588.0,5.0,2588.0,1505150509737
68,2598.0,1000.0,5.0,2598.0,2598.0,5.0,2598.0,1505150509747
93,2737.0,1000.0,14.0,2737.0,2737.0,8.0,2737.0,1505150509886
4,2758.0,1000.0,0.0,2758.0,2758.0,4.0,2758.0,1505150509906
48,2908.0,1000.0,10.0,2908.0,2908.0,6.0,2908.0,1505150510057
100,2918.0,1000.0,13.0,2918.0,2918.0,8.0,2918.0,1505150510067
15,2997.0,1000.0,7.0,2997.0,2997.0,5.0,2997.0,1505150510146
86,3067.0,1000.0,4.0,3067.0,3067.0,4.0,3067.0,1505150510216
97,3097.0,1000.0,16.0,3097.0,3097.0,8.0,3097.0,1505150510246
85,3287.0,1000.0,20.0,3287.0,3287.0,9.0,3287.0,1505150510436
8,3318.0,1000.0,12.0,3318.0,3318.0,5.0,3318.0,1505150510467
1,1179.0,39.0,0.0,1140.0,1218.0,8.0,1140.0,1505150510507
37,3359.0,1000.0,12.0,3359.0,3359.0,7.0,3359.0,1505150510508
87,3378.0,1000.0,17.0,3378.0,3378.0,7.0,3378.0,1505150510527
9,3497.0,1000.0,16.0,3497.0,3497.0,8.0,3497.0,1505150510646
28,3517.0,1000.0,11.0,3517.0,3517.0,4.0,3517.0,1505150510666
83,1503.5,184.5,1.0,1319.0,1688.0,7.0,1319.0,1505150510686
24,3568.0,1000.0,14.0,3568.0,3568.0,5.0,3568.0,1505150510717
39,1463.0,84.0,2.0,1379.0,1547.0,9.0,1379.0,1505150510746
72,3627.0,1000.0,13.0,3627.0,3627.0,5.0,3627.0,1505150510776
10,1753.0,324.0,1.0,1429.0,2077.0,7.0,1429.0,1505150510796
79,3658.0,1000.0,15.0,3658.0,3658.0,5.0,3658.0,1505150510807
42,3658.0,1000.0,18.0,3658.0,3658.0,6.0,3658.0,1505150510807
43,3798.0,1000.0,24.0,3798.0,3798.0,8.0,3798.0,1505150510947
46,3798.0,1000.0,21.0,3798.0,3798.0,9.0,3798.0,1505150510947
34,1723.5,134.5,3.0,1589.0,1858.0,8.0,1589.0,1505150510956
11,3878.0,1000.0,22.0,3878.0,3878.0,7.0,3878.0,1505150511027
91,3918.0,1000.0,11.0,3918.0,3918.0,4.0,3918.0,1505150511067
54,1838.5,138.5,2.0,1700.0,1977.0,7.0,1700.0,1505150511067
21,3938.0,1000.0,26.0,3938.0,3938.0,9.0,3938.0,1505150511087
99,1873.5,93.5,6.0,1780.0,1967.0,9.0,1780.0,1505150511147
53,1914.0,94.0,1.0,1820.0,2008.0,6.0,1820.0,1505150511187
80,4047.0,1000.0,8.0,4047.0,4047.0,3.0,4047.0,1505150511196
44,1973.5,124.5,6.0,1849.0,2098.0,9.0,1849.0,1505150511216
82,2023.0,164.0,7.0,1859.0,2187.0,9.0,1859.0,1505150511226
74,4087.0,1000.0,27.0,4087.0,4087.0,9.0,4087.0,1505150511236
90,1929.0,59.0,1.0,1870.0,1988.0,6.0,1870.0,1505150511237
45,4138.0,1000.0,15.0,4138.0,4138.0,4.0,4138.0,1505150511287
52,4138.0,1000.0,25.0,4138.0,4138.0,7.0,4138.0,1505150511287
89,2038.5,99.5,4.0,1939.0,2138.0,7.0,1939.0,1505150511306
18,2023.5,74.5,5.0,1949.0,2098.0,7.0,1949.0,1505150511316
60,4177.0,1000.0,19.0,4177.0,4177.0,6.0,4177.0,1505150511326
96,4218.0,1000.0,22.0,4218.0,4218.0,5.0,4218.0,1505150511367
38,4287.0,1000.0,24.0,4287.0,4287.0,6.0,4287.0,1505150511436
20,4328.0,1000.0,23.0,4328.0,4328.0,6.0,4328.0,1505150511477
67,2064.0,46.0,6.0,2018.0,2110.0,9.0,2110.0,1505150511477
35,2119.0,41.0,7.0,2078.0,2160.0,8.0,2160.0,1505150511527
19,2168.0,11.0,0.0,2157.0,2179.0,5.0,2179.0,1505150511546
84,4407.0,1000.0,26.0,4407.0,4407.0,6.0,4407.0,1505150511556
71,4438.0,1000.0,27.0,4438.0,4438.0,6.0,4438.0,1505150511587
78,4438.0,1000.0,29.0,4438.0,4438.0,9.0,4438.0,1505150511587
76,4497.0,1000.0,5.0,4497.0,4497.0,3.0,4497.0,1505150511646
65,4528.0,1000.0,29.0,4528.0,4528.0,8.0,4528.0,1505150511677
57,4538.0,1000.0,18.0,4538.0,4538.0,4.0,4538.0,1505150511687
56,4548.0,1000.0,21.0,4548.0,4548.0,4.0,4548.0,1505150511697
27,4567.0,1000.0,9.0,4567.0,4567.0,3.0,4567.0,1505150511716
25,4587.0,1000.0,10.0,4587.0,4587.0,3.0,4587.0,1505150511736
92,4897.0,1000.0,12.0,4897.0,4897.0,3.0,4897.0,1505150512046
64,4968.0,1000.0,16.0,4968.0,4968.0,3.0,4968.0,1505150512117
23,5177.0,1000.0,25.0,5177.0,5177.0,4.0,5177.0,1505150512326
1,1122.3333333333333,86.23353304963344,0.0,1009.0,1218.0,8.0,1009.0,1505150512406
22,5287.0,1000.0,14.0,5287.0,5287.0,3.0,5287.0,1505150512436
32,5328.0,1000.0,29.0,5328.0,5328.0,5.0,5328.0,1505150512477
70,5408.0,1000.0,28.0,5408.0,5408.0,4.0,5408.0,1505150512557
73,5478.0,1000.0,6.0,5478.0,5478.0,2.0,5478.0,1505150512627
63,5508.0,1000.0,3.0,5508.0,5508.0,2.0,5508.0,1505150512657
62,5527.0,1000.0,28.0,5527.0,5527.0,4.0,5527.0,1505150512676
39,1408.3333333333333,103.34838600040587,2.0,1299.0,1547.0,9.0,1299.0,1505150512696
30,5628.0,1000.0,5.0,5628.0,5628.0,2.0,5628.0,1505150512777
10,1668.6666666666667,290.18653004959106,1.0,1429.0,2077.0,7.0,1500.0,1505150512897
99,1752.0,188.0230482325682,6.0,1509.0,1967.0,9.0,1509.0,1505150512906
83,1508.6666666666667,150.82071770446157,1.0,1319.0,1688.0,7.0,1519.0,1505150512916
34,1679.0,126.57277221688189,3.0,1589.0,1858.0,8.0,1590.0,1505150512987
75,5838.0,1000.0,23.0,5838.0,5838.0,3.0,5838.0,1505150512987
54,1775.3333333333333,144.1118392854044,2.0,1649.0,1977.0,7.0,1649.0,1505150513046
89,1942.0,158.82275235830247,4.0,1749.0,2138.0,7.0,1749.0,1505150513146
53,1862.3333333333333,105.9695973171341,1.0,1759.0,2008.0,6.0,1759.0,1505150513156
33,6048.0,1000.0,25.0,6048.0,6048.0,3.0,6048.0,1505150513197
90,1889.3333333333333,73.94292092929217,1.0,1810.0,1988.0,6.0,1810.0,1505150513207
95,6098.0,1000.0,26.0,6098.0,6098.0,3.0,6098.0,1505150513247
3,6107.0,1000.0,11.0,6107.0,6107.0,2.0,6107.0,1505150513256
82,1968.3333333333333,154.6206828194584,7.0,1859.0,2187.0,9.0,1859.0,1505150513256
2,6127.0,1000.0,9.0,6127.0,6127.0,2.0,6127.0,1505150513276
18,1999.0,70.00476174280338,5.0,1949.0,2098.0,7.0,1950.0,1505150513347
88,6318.0,1000.0,10.0,6318.0,6318.0,2.0,6318.0,1505150513467
69,2198.5,119.5,8.0,2079.0,2318.0,8.0,2079.0,1505150513476
81,2228.5,19.5,3.0,2209.0,2248.0,6.0,2209.0,1505150513606
93,2488.0,249.0,14.0,2239.0,2737.0,8.0,2239.0,1505150513636
7,2363.5,94.5,8.0,2269.0,2458.0,7.0,2269.0,1505150513666
44,2089.0,192.39022844209111,6.0,1849.0,2320.0,9.0,2320.0,1505150513717
98,2468.5,119.5,4.0,2349.0,2588.0,5.0,2349.0,1505150513746
4,2649.0,109.0,0.0,2540.0,2758.0,4.0,2540.0,1505150513937
48,2753.5,154.5,10.0,2599.0,2908.0,6.0,2599.0,1505150513996
37,2999.5,359.5,12.0,2640.0,3359.0,7.0,2640.0,1505150514037
100,2858.5,59.5,13.0,2799.0,2918.0,8.0,2799.0,1505150514196
26,7068.0,1000.0,18.0,7068.0,7068.0,2.0,7068.0,1505150514217
15,2908.5,88.5,7.0,2820.0,2997.0,5.0,2820.0,1505150514217
97,2983.5,113.5,16.0,2870.0,3097.0,8.0,2870.0,1505150514267
46,3334.0,464.0,21.0,2870.0,3798.0,9.0,2870.0,1505150514267
13,7127.0,1000.0,19.0,7127.0,7127.0,2.0,7127.0,1505150514276
1,1061.5,129.14817071875234,0.0,879.0,1218.0,8.0,879.0,1505150514296
68,2769.0,171.0,5.0,2598.0,2940.0,5.0,2940.0,1505150514337
86,3013.5,53.5,4.0,2960.0,3067.0,4.0,2960.0,1505150514357
9,3253.0,244.0,16.0,3009.0,3497.0,8.0,3009.0,1505150514406
67,1705.6666666666667,508.14980293435343,6.0,989.0,2110.0,9.0,989.0,1505150514406
36,7267.0,1000.0,22.0,7267.0,7267.0,2.0,7267.0,1505150514416
87,3263.5,114.5,17.0,3149.0,3378.0,7.0,3149.0,1505150514546
85,3218.5,68.5,20.0,3150.0,3287.0,9.0,3150.0,1505150514547
79,3478.5,179.5,15.0,3299.0,3658.0,5.0,3299.0,1505150514696
8,3329.0,11.0,12.0,3318.0,3340.0,5.0,3340.0,1505150514737
24,3479.0,89.0,14.0,3390.0,3568.0,5.0,3390.0,1505150514787
39,1401.0,90.39911503991618,2.0,1299.0,1547.0,9.0,1379.0,1505150514796
60,3803.0,374.0,19.0,3429.0,4177.0,6.0,3429.0,1505150514826
28,3483.5,33.5,11.0,3450.0,3517.0,4.0,3450.0,1505150514847
42,3554.0,104.0,18.0,3450.0,3658.0,6.0,3450.0,1505150514847
72,3563.0,64.0,13.0,3499.0,3627.0,5.0,3499.0,1505150514896
54,1716.5,161.1218483012158,2.0,1540.0,1977.0,7.0,1540.0,1505150514957
10,1639.0,256.5082844666035,1.0,1429.0,2077.0,7.0,1550.0,1505150514967
11,3734.0,144.0,22.0,3590.0,3878.0,7.0,3590.0,1505150514987
83,1524.0,133.28728371453894,1.0,1319.0,1688.0,7.0,1570.0,1505150514987
91,3758.5,159.5,11.0,3599.0,3918.0,4.0,3599.0,1505150514996
34,1654.0,117.85796536509528,3.0,1579.0,1858.0,8.0,1579.0,1505150514996
43,3744.0,54.0,24.0,3690.0,3798.0,8.0,3690.0,1505150515087
74,3898.5,188.5,27.0,3710.0,4087.0,9.0,3710.0,1505150515107
21,3838.5,99.5,26.0,3739.0,3938.0,9.0,3739.0,1505150515136
99,1764.0,164.1538912118747,6.0,1509.0,1967.0,9.0,1800.0,1505150515217
59,8077.0,1000.0,28.0,8077.0,8077.0,2.0,8077.0,1505150515226
82,1931.0,148.70104236352884,7.0,1819.0,2187.0,9.0,1819.0,1505150515236
53,1861.5,91.78371315217096,1.0,1759.0,2008.0,6.0,1859.0,1505150515276
90,1887.0,64.16385275215322,1.0,1810.0,1988.0,6.0,1880.0,1505150515297
18,1971.75,76.83220353471583,5.0,1890.0,2098.0,7.0,1890.0,1505150515307
89,1929.0,139.3753923761293,4.0,1749.0,2138.0,7.0,1890.0,1505150515307
35,2052.6666666666665,99.60365901355676,7.0,1920.0,2160.0,8.0,1920.0,1505150515337
52,4058.5,79.5,25.0,3979.0,4138.0,7.0,3979.0,1505150515376
45,4139.0,1.0,15.0,4138.0,4140.0,4.0,4140.0,1505150515537
19,2158.6666666666665,15.965240019770729,0.0,2140.0,2179.0,5.0,2140.0,1505150515557
80,4263.5,216.5,8.0,4047.0,4480.0,3.0,4480.0,1505150515877
96,4364.0,146.0,22.0,4218.0,4510.0,5.0,4510.0,1505150515907
44,1891.75,380.1094414770567,6.0,1300.0,2320.0,9.0,1300.0,1505150516737
39,1386.6,85.83146276278879,2.0,1299.0,1547.0,9.0,1329.0,1505150516766
67,1619.25,464.8286646711883,6.0,989.0,2110.0,9.0,1360.0,1505150516797
1,1125.2,171.97139296987743,0.0,879.0,1380.0,8.0,1380.0,1505150516817
10,1607.2,238.08015456984228,1.0,1429.0,2077.0,7.0,1480.0,1505150516917
83,1517.2,119.98899949578711,1.0,1319.0,1688.0,7.0,1490.0,1505150516927
34,1649.2,105.85159422512257,3.0,1579.0,1858.0,8.0,1630.0,1505150517067
90,1849.4,94.59725154569766,1.0,1699.0,1988.0,6.0,1699.0,1505150517136
81,2078.6666666666665,212.49366003614216,3.0,1779.0,2248.0,6.0,1779.0,1505150517216
76,4153.0,344.0,5.0,3809.0,4497.0,3.0,3809.0,1505150517226
53,1847.0,87.06549259034833,1.0,1759.0,2008.0,6.0,1789.0,1505150517226
54,1733.0,147.84180734825992,2.0,1540.0,1977.0,7.0,1799.0,1505150517236
20,4084.0,244.0,23.0,3840.0,4328.0,6.0,3840.0,1505150517257
35,2004.5,120.00312495931095,7.0,1860.0,2160.0,8.0,1860.0,1505150517297
69,2098.6666666666665,171.62038210992176,8.0,1899.0,2318.0,8.0,1899.0,1505150517336
18,1963.2,70.81638228545708,5.0,1890.0,2098.0,7.0,1929.0,1505150517366
82,1934.8,133.21921783286373,7.0,1819.0,2187.0,9.0,1950.0,1505150517387
99,1807.2,170.35891523486524,6.0,1509.0,1980.0,9.0,1980.0,1505150517417
78,4219.0,219.0,29.0,4000.0,4438.0,9.0,4000.0,1505150517417
61,10287.0,1000.0,2.0,10287.0,10287.0,0.0,10287.0,1505150517436
38,4183.5,103.5,24.0,4080.0,4287.0,6.0,4080.0,1505150517497
89,1955.2,135.22632879731668,4.0,1749.0,2138.0,7.0,2060.0,1505150517497
65,4319.0,209.0,29.0,4110.0,4528.0,8.0,4110.0,1505150517527
84,4288.0,119.0,26.0,4169.0,4407.0,6.0,4169.0,1505150517586
5,10468.0,1000.0,4.0,10468.0,10468.0,0.0,10468.0,1505150517617
41,10488.0,1000.0,3.0,10488.0,10488.0,1.0,10488.0,1505150517637
71,4348.5,89.5,27.0,4259.0,4438.0,6.0,4259.0,1505150517676
25,4438.0,149.0,10.0,4289.0,4587.0,3.0,4289.0,1505150517706
57,4429.0,109.0,18.0,4320.0,4538.0,4.0,4320.0,1505150517737
7,2342.3333333333335,82.76204175559926,8.0,2269.0,2458.0,7.0,2300.0,1505150517737
56,4444.0,104.0,21.0,4340.0,4548.0,4.0,4340.0,1505150517757
68,2622.6666666666665,249.64152076305115,5.0,2330.0,2940.0,5.0,2330.0,1505150517767
93,2445.0,212.20744567521658,14.0,2239.0,2737.0,8.0,2359.0,1505150517796
98,2435.3333333333335,108.25997516267138,4.0,2349.0,2588.0,5.0,2369.0,1505150517806
27,4518.0,49.0,9.0,4469.0,4567.0,3.0,4469.0,1505150517886
50,10788.0,1000.0,2.0,10788.0,10788.0,0.0,10788.0,1505150517937
92,4723.5,173.5,12.0,4550.0,4897.0,3.0,4550.0,1505150517967
4,2616.0,100.4921224109963,0.0,2540.0,2758.0,4.0,2550.0,1505150517987
12,10928.0,1000.0,7.0,10928.0,10928.0,0.0,10928.0,1505150518077
49,10967.0,1000.0,8.0,10967.0,10967.0,1.0,10967.0,1505150518116
37,2902.6666666666665,323.903620781793,12.0,2640.0,3359.0,7.0,2709.0,1505150518146
100,2815.6666666666665,77.6502128493899,13.0,2730.0,2918.0,8.0,2730.0,1505150518167
48,2745.6666666666665,126.63420636708796,10.0,2599.0,2908.0,6.0,2730.0,1505150518167
9,3082.0,313.32517719881156,16.0,2740.0,3497.0,8.0,2740.0,1505150518177
15,2859.0,100.60815076324582,7.0,2760.0,2997.0,5.0,2760.0,1505150518197
16,11138.0,1000.0,9.0,11138.0,11138.0,0.0,11138.0,1505150518287
66,11158.0,1000.0,9.0,11158.0,11158.0,1.0,11158.0,1505150518307
97,2945.6666666666665,107.0088262195642,16.0,2870.0,3097.0,8.0,2870.0,1505150518307
86,2985.3333333333335,59.117585276200934,4.0,2929.0,3067.0,4.0,2929.0,1505150518366
58,11218.0,1000.0,10.0,11218.0,11218.0,0.0,11218.0,1505150518367
22,5123.5,163.5,14.0,4960.0,5287.0,3.0,4960.0,1505150518376
