timestamp,numberOfSuspectedNodes
1505150507149,0
1505150509367,0
1505150511397,84
1505150513417,54
1505150515437,59
1505150517456,24
1505150519477,20
1505150521496,3
1505150523517,0
1505150525536,0
1505150527556,1
1505150529577,0
1505150531596,0
1505150533616,0
1505150535636,0
1505150537656,0
1505150539676,0
1505150541696,1
1505150543716,0
1505150545736,0
1505150547756,1
1505150549777,1
1505150551797,1
1505150553816,2
1505150555836,1
1505150557856,1
1505150559876,1
1505150561896,1
1505150563917,1
1505150565937,1
1505150567957,1
1505150569976,1
1505150571996,1
1505150574017,1
1505150576036,1
1505150578056,1
1505150580076,1
1505150582096,1
1505150584116,1
1505150586136,1
1505150588156,1
1505150590177,1
1505150592197,1
1505150594216,1
1505150596236,1
1505150598256,1
1505150600277,1
1505150602297,1
1505150604316,1
1505150606337,1
1505150608356,1
1505150610376,1
1505150612396,1
1505150614417,1
1505150616437,1
1505150618456,1
1505150620477,1
1505150622496,1
1505150624516,1
1505150626537,1
1505150628557,1
1505150630576,2
1505150632597,2
1505150634616,2
1505150636637,2
1505150638656,2
1505150640676,2
1505150642697,2
1505150644716,2
1505150646737,2
1505150648756,4
1505150650776,3
1505150652797,3
1505150654816,4
1505150656836,4
1505150658857,4
1505150660877,4
1505150662896,4
1505150664916,4
1505150666936,4
1505150668956,5
1505150670977,4
1505150672997,4
1505150675017,4
1505150677036,4
1505150679057,4
1505150681076,4
1505150683096,4
1505150685116,4
1505150687136,4
1505150689156,4
1505150691176,5
1505150693197,4
1505150695216,6
1505150697237,5
1505150699256,6
1505150701276,5
1505150703297,5
1505150705317,6
1505150707336,6
1505150709357,6
1505150711376,6
1505150713396,6
1505150715417,6
1505150717437,7
1505150719456,6
1505150721477,6
1505150723496,6
1505150725516,6
1505150727537,6
1505150729556,6
1505150731577,6
1505150733597,6
1505150735616,7
1505150737637,7
1505150739656,7
1505150741676,7
1505150743696,7
1505150745717,7
1505150747737,8
1505150749756,7
1505150751776,8
1505150753796,8
1505150755817,8
1505150757836,8
1505150759856,8
1505150761877,8
1505150763897,8
1505150765917,8
1505150767936,8
1505150769957,8
1505150771977,8
1505150773997,8
1505150776016,8
1505150778036,8
1505150780057,8
1505150782076,9
1505150784097,8
1505150786116,8
1505150788137,8
1505150790157,8
1505150792176,8
1505150794197,9
1505150796216,9
1505150798237,9
1505150800256,9
1505150802276,9
1505150804297,9
1505150806317,9
1505150808337,9
1505150810356,9
1505150812376,9
1505150814396,9
1505150816416,9
1505150818436,9
1505150820456,9
1505150822477,9
1505150824497,10
1505150826517,9
1505150828536,9
1505150830557,9
1505150832577,9
1505150834596,9
1505150836616,10
1505150838636,9
1505150840656,9
1505150842676,9
1505150844696,9
1505150846716,10
1505150848737,9
1505150850757,9
1505150852777,10
1505150854796,9
1505150856816,9
1505150858836,9
1505150860856,9
1505150862876,9
1505150864897,9
1505150866916,9
1505150868936,9
1505150870956,9
1505150872977,9
1505150874997,9
1505150877016,9
1505150879037,9
1505150881056,9
1505150883077,9
1505150885096,9
1505150887116,9
1505150889136,9
1505150891167,9
1505150893186,9
1505150895207,9
1505150897226,9
1505150899247,10
1505150901266,10
1505150903286,10
1505150905307,10
1505150907327,10
1505150909347,10
1505150911366,10
1505150913386,11
1505150915406,12
1505150917427,11
1505150919446,11
1505150921466,11
1505150923486,11
1505150925507,12
1505150927526,13
1505150929546,11
1505150931567,11
1505150933586,12
1505150935607,12
1505150937627,12
1505150939646,12
1505150941667,12
1505150943686,12
1505150945707,12
1505150947727,12
1505150949746,12
1505150951766,13
1505150953787,12
1505150955807,12
1505150957827,12
1505150959846,12
1505150961866,12
1505150963886,13
1505150965906,14
1505150967927,13
1505150969946,14
1505150971967,14
1505150973986,14
1505150976006,14
1505150978027,14
1505150980046,14
1505150982066,14
1505150984087,14
1505150986106,14
1505150988126,14
1505150990147,14
1505150992167,14
1505150994186,14
1505150996206,14
1505150998226,14
1505151000247,15
1505151002267,15
1505151004287,15
1505151006307,16
1505151008327,15
1505151010347,15
1505151012366,15
1505151014387,15
1505151016406,15
1505151018426,15
1505151020446,15
1505151022467,15
1505151024487,15
1505151026506,15
1505151028527,15
1505151030546,15
1505151032567,16
1505151034587,15
1505151036606,16
1505151038626,15
