timestamp,numberOfSuspectedNodes
1504433155498,0
1504433156016,0
1504433156536,96
1504433157556,90
1504433159076,81
1504433161096,69
1504433163616,61
1504433166636,40
1504433170156,32
1504433174176,54
1504433178696,30
1504433183715,25
1504433189236,31
1504433195256,17
1504433201776,26
1504433208796,16
1504433216315,21
1504433224336,7
1504433232856,21
1504433241876,1
1504433250896,12
1504433260416,1
1504433269936,6
1504433279956,2
1504433290476,1
1504433300996,1
1504433311515,1
1504433322035,1
1504433332556,1
1504433343076,1
1504433353596,1
1504433364115,1
1504433374636,1
1504433385156,1
1504433395676,1
1504433406195,1
1504433416716,1
1504433427236,1
1504433437756,1
1504433448276,2
1504433458796,2
1504433469316,2
1504433479836,2
1504433490356,3
1504433500876,5
1504433511396,5
1504433521916,5
1504433532436,5
1504433542956,5
1504433553476,5
1504433563996,5
1504433574516,5
1504433585036,6
1504433595556,6
1504433606076,6
1504433616596,6
1504433627116,6
1504433637635,6
1504433648156,6
1504433658676,6
1504433669196,6
1504433679715,6
1504433690236,6
1504433700756,6
1504433711275,6
1504433721796,7
1504433732316,7
1504433742836,7
1504433753356,7
1504433763876,8
1504433774386,8
1504433784906,8
1504433795426,8
1504433805946,8
1504433816466,8
1504433826986,8
1504433837506,8
1504433848026,8
1504433858545,8
1504433869066,8
1504433879586,8
1504433890106,8
1504433900626,8
1504433911146,8
1504433921665,8
1504433932186,9
