node,geoLocation,rtt,timestamp,mean
100,0,270.0,1504424862481,270.0
1,1,338.0,1504424862550,338.0
2,2,548.0,1504424862760,548.0
3,3,599.0,1504424862811,599.0
4,4,648.0,1504424862860,648.0
5,5,798.0,1504424863010,798.0
7,7,968.0,1504424863180,968.0
6,6,1008.0,1504424863220,1008.0
8,8,1148.0,1504424863360,1148.0
9,9,1169.0,1504424863381,1169.0
10,10,1418.0,1504424863630,1418.0
11,11,1518.0,1504424863730,1518.0
13,13,1568.0,1504424863780,1568.0
12,12,1608.0,1504424863820,1608.0
14,14,1659.0,1504424863871,1659.0
15,15,1748.0,1504424863960,1748.0
16,16,1868.0,1504424864080,1868.0
17,17,2028.0,1504424864240,2028.0
18,18,2158.0,1504424864370,2158.0
19,19,2209.0,1504424864421,2209.0
20,20,2278.0,1504424864490,2278.0
21,21,2408.0,1504424864620,2408.0
22,22,2498.0,1504424864710,2498.0
23,23,2578.0,1504424864790,2578.0
25,25,2778.0,1504424864990,2778.0
24,24,2819.0,1504424865030,2819.0
26,26,2888.0,1504424865100,2888.0
27,27,3058.0,1504424865270,3058.0
28,28,3149.0,1504424865361,3149.0
29,29,3159.0,1504424865371,3159.0
30,30,3338.0,1504424865550,3338.0
32,32,3449.0,1504424865661,3449.0
31,31,3529.0,1504424865741,3529.0
33,33,3648.0,1504424865860,3648.0
34,34,3709.0,1504424865920,3709.0
35,35,3818.0,1504424866030,3818.0
36,36,3959.0,1504424866171,3959.0
37,37,3998.0,1504424866210,3998.0
38,38,4218.0,1504424866430,4218.0
39,39,4248.0,1504424866460,4248.0
40,40,4338.0,1504424866550,4338.0
41,41,4348.0,1504424866560,4348.0
1,1,190.0,1504424866630,264.0
100,0,220.0,1504424866660,245.0
42,42,4468.0,1504424866680,4468.0
2,2,320.0,1504424866760,434.0
43,43,4558.0,1504424866770,4558.0
3,3,480.0,1504424866920,539.5
4,4,481.0,1504424866921,564.5
44,44,4739.0,1504424866951,4739.0
46,46,4859.0,1504424867071,4859.0
5,5,650.0,1504424867090,724.0
45,45,4898.0,1504424867110,4898.0
6,6,680.0,1504424867120,844.0
47,47,4998.0,1504424867210,4998.0
48,48,5048.0,1504424867260,5048.0
7,7,841.0,1504424867281,904.5
49,49,5208.0,1504424867420,5208.0
8,8,1030.0,1504424867470,1089.0
9,9,1061.0,1504424867501,1115.0
51,51,5378.0,1504424867590,5378.0
50,50,5389.0,1504424867601,5389.0
10,10,1190.0,1504424867630,1304.0
52,52,5448.0,1504424867660,5448.0
12,12,1290.0,1504424867730,1449.0
11,11,1330.0,1504424867770,1424.0
53,53,5609.0,1504424867820,5609.0
13,13,1450.0,1504424867890,1509.0
54,54,5758.0,1504424867970,5758.0
14,14,1570.0,1504424868010,1614.5
55,55,5828.0,1504424868040,5828.0
15,15,1640.0,1504424868080,1694.0
56,56,5938.0,1504424868150,5938.0
17,17,1741.0,1504424868181,1884.5
16,16,1760.0,1504424868200,1814.0
58,58,6069.0,1504424868281,6069.0
57,57,6098.0,1504424868310,6098.0
19,19,1950.0,1504424868390,2079.5
18,18,2010.0,1504424868450,2084.0
59,59,6278.0,1504424868490,6278.0
20,20,2071.0,1504424868511,2174.5
60,60,6348.0,1504424868560,6348.0
21,21,2200.0,1504424868640,2304.0
61,61,6519.0,1504424868731,6519.0
62,62,6629.0,1504424868841,6629.0
22,22,2411.0,1504424868851,2454.5
23,23,2470.0,1504424868910,2524.0
63,63,6728.0,1504424868940,6728.0
64,64,6768.0,1504424868980,6768.0
