timestamp,numberOfSuspectedNodes
1504424862212,0
1504424866440,0
1504424870471,61
1504424874490,20
1504424878510,0
1504424882530,0
1504424886551,0
1504424890571,0
1504424894591,0
1504424898610,1
1504424902630,1
1504424906650,1
1504424910670,1
1504424914690,1
1504424918710,1
1504424922730,1
1504424926750,1
1504424930770,1
1504424934790,1
1504424938810,1
1504424942830,1
1504424946850,1
1504424950870,1
1504424954890,1
1504424958910,1
1504424962930,1
1504424966950,1
1504424970971,1
1504424974990,1
1504424979010,1
1504424983030,1
1504424987050,1
1504424991070,1
1504424995090,1
1504424999110,1
1504425003130,3
1504425007150,3
1504425011170,3
1504425015190,3
1504425019210,3
1504425023230,3
1504425027250,3
1504425031270,3
1504425035290,3
1504425039310,3
1504425043330,3
1504425047350,3
1504425051371,3
1504425055390,3
1504425059410,3
1504425063430,3
1504425067450,3
1504425071470,3
1504425075490,3
1504425079510,3
1504425083530,3
1504425087550,3
1504425091570,3
1504425095591,3
1504425099610,3
1504425103630,3
1504425107650,3
1504425111670,3
1504425115690,3
1504425119710,3
1504425123731,4
1504425127750,4
1504425131770,4
1504425135790,4
1504425139810,4
1504425143830,4
1504425147850,4
1504425151871,4
1504425155890,4
1504425159910,4
1504425163930,4
1504425167950,4
1504425171970,4
1504425175990,4
1504425180010,4
1504425184030,4
1504425188050,4
1504425192070,5
1504425196090,5
1504425200110,5
1504425204130,5
1504425208151,5
1504425212170,5
1504425216190,5
1504425220211,5
1504425224230,5
1504425228250,5
1504425232270,5
1504425236290,5
1504425240310,5
1504425244330,5
1504425248350,5
1504425252370,5
1504425256390,5
1504425260410,5
1504425264430,5
1504425268450,5
1504425272471,5
1504425276490,5
1504425280510,5
1504425284530,5
1504425288550,5
1504425292570,5
1504425296590,5
1504425300611,5
1504425304630,5
1504425308650,5
1504425312670,5
1504425316690,5
1504425320710,6
1504425324730,6
1504425328750,6
1504425332770,6
1504425336790,6
1504425340811,6
1504425344830,6
1504425348850,6
1504425352870,6
1504425356890,6
1504425360910,6
1504425364931,6
1504425368951,6
1504425372970,6
1504425376991,6
1504425381010,6
1504425385031,6
1504425389050,6
1504425393070,6
1504425397091,6
1504425401110,6
1504425405130,8
1504425409150,8
1504425413170,8
1504425417190,8
1504425421210,8
1504425425230,8
1504425429250,8
1504425433270,8
1504425437291,8
1504425441310,8
1504425445330,8
1504425449350,8
1504425453370,8
1504425457390,9
1504425461410,9
1504425465430,9
1504425469451,9
1504425473470,9
1504425477490,9
1504425481510,10
1504425485531,10
1504425489550,10
1504425493570,11
1504425497590,11
1504425501610,11
1504425505630,11
1504425509650,11
1504425513670,11
1504425517690,11
1504425521710,11
1504425525730,11
1504425529750,11
1504425533770,11
1504425537790,11
1504425541810,11
