timestamp,numberOfCrashedNodes
1505214522518,1
1505214524569,2
1505214532692,3
1505214534721,4
1505214546869,5
1505214550922,6
1505214556998,7
1505214559018,8
1505214559019,9
1505214561038,10
1505214563064,11
1505214565087,12
1505214571156,13
1505214573176,14
1505214575208,16
1505214575208,16
1505214579247,17
1505214585306,19
1505214585306,19
1505214587327,20
1505214589347,22
1505214589347,22
1505214593390,23
1505214595408,24
1505214599449,26
1505214599449,26
1505214605506,27
1505214615608,29
1505214615608,29
1505214625708,30
1505214629747,31
1505214631766,32
