node,rttMean,rttStd,geo,rttMin,rttMax,bandwidth,rtt,timestamp
10,1937.0,1000.0,1.0,1937.0,1937.0,7.0,1937.0,1505214517835
67,1994.0,1000.0,6.0,1994.0,1994.0,9.0,1994.0,1505214517893
53,2034.0,1000.0,1.0,2034.0,2034.0,7.0,2034.0,1505214517933
5,2174.0,1000.0,4.0,2174.0,2174.0,8.0,2174.0,1505214518073
44,2304.0,1000.0,6.0,2304.0,2304.0,9.0,2304.0,1505214518202
30,2355.0,1000.0,5.0,2355.0,2355.0,8.0,2355.0,1505214518252
41,2464.0,1000.0,3.0,2464.0,2464.0,6.0,2464.0,1505214518363
86,2466.0,1000.0,4.0,2466.0,2466.0,6.0,2466.0,1505214518364
15,2473.0,1000.0,7.0,2473.0,2473.0,7.0,2473.0,1505214518372
4,2553.0,1000.0,0.0,2553.0,2553.0,4.0,2553.0,1505214518452
73,2583.0,1000.0,6.0,2583.0,2583.0,7.0,2583.0,1505214518482
89,2623.0,1000.0,4.0,2623.0,2623.0,6.0,2623.0,1505214518522
68,2633.0,1000.0,5.0,2633.0,2633.0,6.0,2633.0,1505214518532
48,2704.0,1000.0,10.0,2704.0,2704.0,9.0,2704.0,1505214518602
88,2724.0,1000.0,10.0,2724.0,2724.0,8.0,2724.0,1505214518623
100,2725.0,1000.0,13.0,2725.0,2725.0,9.0,2725.0,1505214518624
3,2893.0,1000.0,11.0,2893.0,2893.0,8.0,2893.0,1505214518792
37,2933.0,1000.0,12.0,2933.0,2933.0,8.0,2933.0,1505214518832
66,3023.0,1000.0,9.0,3023.0,3023.0,7.0,3023.0,1505214518922
90,3083.0,1000.0,1.0,3083.0,3083.0,4.0,3083.0,1505214518982
39,3104.0,1000.0,2.0,3104.0,3104.0,4.0,3104.0,1505214519003
35,3105.0,1000.0,7.0,3105.0,3105.0,6.0,3105.0,1505214519004
9,3164.0,1000.0,16.0,3164.0,3164.0,8.0,3164.0,1505214519063
55,3184.0,1000.0,20.0,3184.0,3184.0,9.0,3184.0,1505214519083
40,3203.0,1000.0,13.0,3203.0,3203.0,7.0,3203.0,1505214519102
22,3204.0,1000.0,14.0,3204.0,3204.0,8.0,3204.0,1505214519103
50,3283.0,1000.0,2.0,3283.0,3283.0,4.0,3283.0,1505214519182
2,3323.0,1000.0,9.0,3323.0,3323.0,5.0,3323.0,1505214519222
64,3324.0,1000.0,16.0,3324.0,3324.0,9.0,3324.0,1505214519223
27,3354.0,1000.0,9.0,3354.0,3354.0,5.0,3354.0,1505214519252
28,3374.0,1000.0,11.0,3374.0,3374.0,6.0,3374.0,1505214519273
98,3434.0,1000.0,4.0,3434.0,3434.0,5.0,3434.0,1505214519333
29,3435.0,1000.0,15.0,3435.0,3435.0,7.0,3435.0,1505214519334
76,3443.0,1000.0,5.0,3443.0,3443.0,4.0,3443.0,1505214519342
